2009-12-11 16:57:42 UTC+0000|[LIVE RESPONSE]| (System time)|
2009-12-11 01:28:46 UTC+0000|[PROCESS]| BRNIPMON.exe| PID: 2404/PPID: 1276/POffset: 0x01d57da0
2009-12-11 01:28:46 UTC+0000|[PROCESS LastTrimTime]| BRNIPMON.exe| PID: 2404/PPID: 1276/POffset: 0x01d57da0
2009-12-11 11:32:10 UTC+0000|[Handle (Key)]| MACHINE| BRNIPMON.exe PID: 2404/PPID: 1276/POffset: 0x01d57da0
2009-11-09 00:44:19 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9| BRNIPMON.exe PID: 2404/PPID: 1276/POffset: 0x01d57da0
2009-11-09 00:16:08 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5| BRNIPMON.exe PID: 2404/PPID: 1276/POffset: 0x01d57da0
2009-12-11 01:38:47 UTC+0000|[Handle (Key)]| USER\S-1-5-21-1292428093-1645522239-1547161642-1003| BRNIPMON.exe PID: 2404/PPID: 1276/POffset: 0x01d57da0
2007-07-20 10:26:05 UTC+0000|[PE HEADER (dll)]| Brnipmon.exe| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x00400000
-|[PE DEBUG]| Brnipmon.exe| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x00400000
2009-02-09 12:10:48 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c900000
-|[PE DEBUG]| ntdll.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c900000
2008-04-14 00:08:52 UTC+0000|[PE HEADER (dll)]| comctl32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x773d0000
2008-04-13 18:33:53 UTC+0000|[PE DEBUG]| comctl32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x773d0000
2008-04-14 00:11:02 UTC+0000|[PE HEADER (dll)]| SHLWAPI.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77f60000
-|[PE DEBUG]| SHLWAPI.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77f60000
2006-12-21 02:23:46 UTC+0000|[PE HEADER (dll)]| BroSNMP.DLL| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x10000000
-|[PE DEBUG]| BroSNMP.DLL| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x10000000
2009-02-09 12:10:48 UTC+0000|[PE HEADER (dll)]| ADVAPI32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77dd0000
2009-02-06 11:02:08 UTC+0000|[PE DEBUG]| ADVAPI32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77dd0000
2009-06-25 08:25:26 UTC+0000|[PE HEADER (dll)]| Secur32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77fe0000
2009-06-24 12:10:24 UTC+0000|[PE DEBUG]| Secur32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77fe0000
2009-03-21 14:06:58 UTC+0000|[PE HEADER (dll)]| kernel32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c800000
2009-03-21 11:36:14 UTC+0000|[PE DEBUG]| kernel32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c800000
2008-04-14 00:11:24 UTC+0000|[PE HEADER (dll)]| MSCTF.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x74720000
2008-04-13 19:18:22 UTC+0000|[PE DEBUG]| MSCTF.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x74720000
2008-06-20 17:46:57 UTC+0000|[PE HEADER (dll)]| mswsock.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71a50000
2008-06-20 11:46:31 UTC+0000|[PE DEBUG]| mswsock.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71a50000
2009-04-15 14:51:25 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77e70000
2009-04-15 12:32:21 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77e70000
2008-04-14 00:12:30 UTC+0000|[PE HEADER (dll)]| wshtcpip.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71a90000
2008-04-13 19:20:56 UTC+0000|[PE DEBUG]| wshtcpip.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71a90000
2008-04-14 00:12:19 UTC+0000|[PE HEADER (dll)]| WS2_32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71ab0000
-|[PE DEBUG]| WS2_32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71ab0000
2008-04-14 00:12:32 UTC+0000|[PE HEADER (dll)]| WSOCK32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71ad0000
2008-04-13 19:20:56 UTC+0000|[PE DEBUG]| WSOCK32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71ad0000
2008-04-14 00:10:57 UTC+0000|[PE HEADER (dll)]| ole32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x774e0000
2008-04-13 19:19:05 UTC+0000|[PE DEBUG]| ole32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x774e0000
2008-04-14 00:11:07 UTC+0000|[PE HEADER (dll)]| USER32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7e410000
2008-04-13 19:22:34 UTC+0000|[PE DEBUG]| USER32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7e410000
2008-04-14 00:11:19 UTC+0000|[PE HEADER (dll)]| WINSPOOL.DRV| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x73000000
2008-04-13 19:20:42 UTC+0000|[PE DEBUG]| WINSPOOL.DRV| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x73000000
2008-10-23 12:36:14 UTC+0000|[PE HEADER (dll)]| GDI32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77f10000
2008-10-22 16:52:19 UTC+0000|[PE DEBUG]| GDI32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77f10000
2008-04-14 00:10:15 UTC+0000|[PE HEADER (dll)]| IMM32.DLL| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x76390000
2008-04-13 19:17:51 UTC+0000|[PE DEBUG]| IMM32.DLL| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x76390000
2008-04-14 00:09:45 UTC+0000|[PE HEADER (dll)]| comdlg32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x763b0000
2008-04-13 19:17:56 UTC+0000|[PE DEBUG]| comdlg32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x763b0000
2008-06-17 19:02:17 UTC+0000|[PE HEADER (dll)]| SHELL32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c9c0000
2008-06-17 11:41:51 UTC+0000|[PE DEBUG]| SHELL32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x7c9c0000
2008-04-14 00:09:46 UTC+0000|[PE HEADER (dll)]| hnetcfg.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x662b0000
2008-04-13 18:53:29 UTC+0000|[PE DEBUG]| hnetcfg.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x662b0000
2008-04-14 00:12:56 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77c10000
2008-04-13 18:30:58 UTC+0000|[PE DEBUG]| msvcrt.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x77c10000
2008-04-14 00:11:10 UTC+0000|[PE HEADER (dll)]| uxtheme.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x5ad70000
-|[PE DEBUG]| uxtheme.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x5ad70000
2008-04-14 00:09:44 UTC+0000|[PE HEADER (dll)]| COMCTL32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x5d090000
-|[PE DEBUG]| COMCTL32.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x5d090000
2008-04-14 00:12:20 UTC+0000|[PE HEADER (dll)]| WS2HELP.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71aa0000
2008-04-13 19:20:45 UTC+0000|[PE DEBUG]| WS2HELP.dll| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x71aa0000
2008-04-14 00:11:25 UTC+0000|[PE HEADER (dll)]| msctfime.ime| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x755c0000
2008-04-13 18:39:30 UTC+0000|[PE DEBUG]| msctfime.ime| Process: BRNIPMON.exe/PID: 2404/PPID: 1276/Process POffset: 0x01d57da0/DLL Base: 0x755c0000
2009-12-11 16:57:41 UTC+0000|[PROCESS]| mdd_1.3.exe| PID: 3772/PPID: 3880/POffset: 0x01d0d938
2009-12-11 16:57:41 UTC+0000|[PROCESS LastTrimTime]| mdd_1.3.exe| PID: 3772/PPID: 3880/POffset: 0x01d0d938
2009-12-11 11:32:10 UTC+0000|[Handle (Key)]| MACHINE| mdd_1.3.exe PID: 3772/PPID: 3880/POffset: 0x01d0d938
2009-01-19 18:46:09 UTC+0000|[PE HEADER (exe)]| mdd_1.3.exe| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x00400000
2009-01-19 18:46:09 UTC+0000|[PE DEBUG]| mdd_1.3.exe| Process: mdd_1.3.exe/PID: 3772/PPID: 3880/Process POffset: 0x01d0d938/DLL Base: 0x00400000
