Pid      Process              Base       InLoad InInit InMem MappedPath
-------- -------------------- ---------- ------ ------ ----- ----------
       4 System               0x7c900000 False  False  False \WINDOWS\system32\ntdll.dll
     576 smss.exe             0x48580000 True   False  True  \WINDOWS\system32\smss.exe
     576 smss.exe             0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     640 csrss.exe            0x00e60000 False  False  False \WINDOWS\Fonts\vgasys.fon
     640 csrss.exe            0x00ef0000 False  False  False \WINDOWS\Fonts\vgaoem.fon
     640 csrss.exe            0x77b40000 True   True   True  \WINDOWS\system32\apphelp.dll
     640 csrss.exe            0x75b50000 True   True   True  \WINDOWS\system32\basesrv.dll
     640 csrss.exe            0x75b60000 True   True   True  \WINDOWS\system32\winsrv.dll
     640 csrss.exe            0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     640 csrss.exe            0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     640 csrss.exe            0x4a680000 True   False  True  \WINDOWS\system32\csrss.exe
     640 csrss.exe            0x7e720000 True   True   True  \WINDOWS\system32\sxs.dll
     640 csrss.exe            0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     640 csrss.exe            0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     640 csrss.exe            0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
     640 csrss.exe            0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     640 csrss.exe            0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     640 csrss.exe            0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     640 csrss.exe            0x75b40000 True   True   True  \WINDOWS\system32\csrsrv.dll
     664 winlogon.exe         0x013e0000 True   True   True  \WINDOWS\system32\WgaLogon.dll
     664 winlogon.exe         0x01000000 True   False  True  \WINDOWS\system32\winlogon.exe
     664 winlogon.exe         0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
     664 winlogon.exe         0x76f50000 True   True   True  \WINDOWS\system32\wtsapi32.dll
     664 winlogon.exe         0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
     664 winlogon.exe         0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     664 winlogon.exe         0x75970000 True   True   True  \WINDOWS\system32\msgina.dll
     664 winlogon.exe         0x767a0000 True   True   True  \WINDOWS\system32\ntdsapi.dll
     664 winlogon.exe         0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     664 winlogon.exe         0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
     664 winlogon.exe         0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     664 winlogon.exe         0x76360000 True   True   True  \WINDOWS\system32\winsta.dll
     664 winlogon.exe         0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
     664 winlogon.exe         0x01670000 True   True   True  \WINDOWS\system32\xpsp2res.dll
     664 winlogon.exe         0x76080000 True   True   True  \WINDOWS\system32\msvcp60.dll
     664 winlogon.exe         0x75290000 True   True   True  \WINDOWS\system32\wbem\wbemcomn.dll
     664 winlogon.exe         0x74ed0000 True   True   True  \WINDOWS\system32\wbem\wbemsvc.dll
     664 winlogon.exe         0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
     664 winlogon.exe         0x74ef0000 True   True   True  \WINDOWS\system32\wbem\wbemprox.dll
     664 winlogon.exe         0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     664 winlogon.exe         0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
