Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x823caa00 System                    4      0     57      516 ------      0                                                              
0x82382c98 smss.exe                576      4      3       19 ------      0 2009-12-11 01:28:05 UTC+0000                                 
0x821901e0 csrss.exe               640    576     12      549      0      0 2009-12-11 01:28:07 UTC+0000                                 
0x822dd4b0 winlogon.exe            664    576     17      569      0      0 2009-12-11 01:28:08 UTC+0000                                 
0x8222f020 services.exe            708    664     17      358      0      0 2009-12-11 01:28:08 UTC+0000                                 
0x822d97e8 lsass.exe               720    664     23      360      0      0 2009-12-11 01:28:08 UTC+0000                                 
0x822aa020 svchost.exe             876    708     15      190      0      0 2009-12-11 01:28:10 UTC+0000                                 
0x822c51c8 svchost.exe             956    708     10      283      0      0 2009-12-11 01:28:10 UTC+0000                                 
0x81dacda0 svchost.exe            1052    708     86     1442      0      0 2009-12-11 01:28:11 UTC+0000                                 
0x81d35020 svchost.exe            1112    708      5       75      0      0 2009-12-11 01:28:11 UTC+0000                                 
0x822ca7e8 avgchsvx.exe           1232    664     17      250      0      0 2009-12-11 01:28:11 UTC+0000                                 
0x81e5c528 avgrsx.exe             1240    664     28      239      0      0 2009-12-11 01:28:11 UTC+0000                                 
0x822d9568 svchost.exe            1284    708     12      165      0      0 2009-12-11 01:28:11 UTC+0000                                 
0x81e23020 avgcsrvx.exe           1436   1240      8      167      0      0 2009-12-11 01:28:13 UTC+0000                                 
0x81df9348 spoolsv.exe            1792    708     13      140      0      0 2009-12-11 01:28:16 UTC+0000                                 
0x822ba020 svchost.exe             496    708      4      105      0      0 2009-12-11 01:28:22 UTC+0000                                 
0x82215cf8 avgwdsvc.exe            360    708     34     1035      0      0 2009-12-11 01:28:22 UTC+0000                                 
0x81dbd438 jqs.exe                 608    708      5      115      0      0 2009-12-11 01:28:25 UTC+0000                                 
0x81deb828 winvnc4.exe             756    708      3       65      0      0 2009-12-11 01:28:25 UTC+0000                                 
0x81c3ebf0 explorer.exe           1416   1084     12      483      0      0 2009-12-11 01:28:26 UTC+0000                                 
0x81d8cda0 avgemc.exe             2044    708     18      374      0      0 2009-12-11 01:28:29 UTC+0000                                 
0x81c82a20 avgnsx.exe              196    360     10      215      0      0 2009-12-11 01:28:32 UTC+0000                                 
0x81cd8320 avgcsrvx.exe           1020   2044      3      115      0      0 2009-12-11 01:28:34 UTC+0000                                 
0x81c376c0 hkcmd.exe              1648   1416      2      102      0      0 2009-12-11 01:28:34 UTC+0000                                 
0x81d829f0 jusched.exe            1164   1416      2      149      0      0 2009-12-11 01:28:34 UTC+0000                                 
0x822b9a30 BrStsWnd.exe           1276   1416      3       58      0      0 2009-12-11 01:28:35 UTC+0000                                 
0x81c5e4b0 avgtray.exe             120   1416     10      206      0      0 2009-12-11 01:28:35 UTC+0000                                 
0x81d2ca20 ctfmon.exe             1664   1416      1       71      0      0 2009-12-11 01:28:36 UTC+0000                                 
0x81d7fab8 msmsgs.exe              824   1416      3      201      0      0 2009-12-11 01:28:36 UTC+0000                                 
0x81d62020 soffice.exe            2092   1908      1       20      0      0 2009-12-11 01:28:40 UTC+0000                                 
0x81d2b9f0 soffice.bin            2132   2092     12      357      0      0 2009-12-11 01:28:41 UTC+0000                                 
0x81d57da0 BRNIPMON.exe           2404   1276      1       49      0      0 2009-12-11 01:28:46 UTC+0000                                 
0x81bf0da0 alg.exe                2632    708      5      102      0      0 2009-12-11 01:28:47 UTC+0000                                 
0x82186020 msimn.exe              3020   1416     13      479      0      0 2009-12-11 16:47:16 UTC+0000                                 
0x82380b20 scalc.exe              3272   3020      0 --------      0      0 2009-12-11 16:47:40 UTC+0000   2009-12-11 16:48:19 UTC+0000  
0x81c87c90 soffice.bin            3792   3292      0 --------      0      0 2009-12-11 16:47:41 UTC+0000   2009-12-11 16:48:19 UTC+0000  
0x8223a5d0 avgcmgr.exe             952    360      0 --------      0      0 2009-12-11 16:52:36 UTC+0000   2009-12-11 16:52:36 UTC+0000  
0x81d54da0 cmd.exe                3880   1416      1       33      0      0 2009-12-11 16:57:05 UTC+0000                                 
0x81d0d938 mdd_1.3.exe            3772   3880      1       24      0      0 2009-12-11 16:57:41 UTC+0000                                 
